Objet						Début	Journéeentière	Afficherladisponibilité	Catégories	Priorité	Privé
St Habib						27/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Larissa						26/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Humbert - Annonciation						25/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Catherine de Suède - Rameaux						24/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Victorien						23/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Léa						22/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Clémence						21/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Herbert - Printemps						20/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Joseph						19/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Cyrille						18/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Patrick						17/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Bénédicte						16/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Louise						15/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Mathilde						14/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Rodrigue						13/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Justine						12/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Rosine						11/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Vivien						10/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Françoise						09/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jean de Dieu						08/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Félicité - Mi-Carême						07/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Colette						06/03/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Olive						05/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Casimir						04/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Guénolé						03/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Charles le Bon						02/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Aubin						01/03/2013	VRAI	3	Ephemeride	Normale	FAUX
St Auguste						29/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Romain						28/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Honorine						27/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Nestor						26/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Roméo						25/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Modeste						24/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Lazare						23/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Isabelle						22/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Pierre-Damien						21/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Aimée						20/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gabin						19/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Bernadette						18/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Alexis - Carême						17/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Julienne						16/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Claude						15/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Valentin						14/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Béatrice - Cendres						13/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Félix - Mardi Gras						12/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Notre-Dame de Lourdes						11/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Arnaud						10/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Apolline						09/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Jacqueline						08/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Eugénie						07/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Dorothée Gaston						06/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Agathe						05/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Véronique						04/02/2013	VRAI	3	Ephemeride	Normale	FAUX
St Blaise						03/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Présentation du Seigneur						02/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Ella						01/02/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Marcelle						31/01/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Martine						30/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gildas						29/01/2013	VRAI	3	Ephemeride	Normale	FAUX
St Thomas d'Aquin						28/01/2013	VRAI	3	Ephemeride	Normale	FAUX
